seed,observer,num_distractors,accuracy,reward,relative_processing_cost,relative_efficiency
2186,O3,10,0.67125,0.3425,2.12,0.316627358490566
2186,O4,10,0.65875,0.3175,2.12,0.31073113207547165
2186,O5R,10,0.65,0.3,2.12,0.30660377358490565
2186,O1,20,0.6425,0.285,1.0,0.6425
2186,O2,20,0.52375,0.0475,23.0,0.022771739130434784
2186,O3,20,0.67125,0.3425,2.92,0.2298801369863014
2186,O4,20,0.65875,0.3175,2.92,0.22559931506849315
2186,O5R,20,0.65,0.3,2.92,0.2226027397260274
2186,O1,35,0.6425,0.285,1.0,0.6425
2186,O2,35,0.53625,0.0725,38.0,0.014111842105263159
2186,O3,35,0.67125,0.3425,4.12,0.1629247572815534
2186,O4,35,0.65875,0.3175,4.12,0.1598907766990291
2186,O5R,35,0.65,0.3,4.12,0.15776699029126215
2223,O1,0,0.725,0.45,1.0,0.725
2223,O2,0,0.51375,0.0275,3.0,0.17125
2223,O3,0,0.70625,0.4125,1.3199999999999998,0.5350378787878789
2223,O4,0,0.64875,0.2975,1.3199999999999998,0.4914772727272728
2223,O5R,0,0.66375,0.3275,1.3199999999999998,0.5028409090909091
2223,O1,2,0.725,0.45,1.0,0.725
2223,O2,2,0.51375,0.0275,5.0,0.10275000000000001
2223,O3,2,0.70625,0.4125,1.4799999999999998,0.47719594594594605
2223,O4,2,0.64875,0.2975,1.4799999999999998,0.4383445945945947
2223,O5R,2,0.66375,0.3275,1.4799999999999998,0.44847972972972977
2223,O1,5,0.725,0.45,1.0,0.725
2223,O2,5,0.51375,0.0275,8.0,0.06421875
2223,O3,5,0.70625,0.4125,1.7199999999999998,0.41061046511627913
2223,O4,5,0.64875,0.2975,1.7199999999999998,0.3771802325581396
2223,O5R,5,0.66375,0.3275,1.7199999999999998,0.3859011627906977
2223,O1,10,0.725,0.45,1.0,0.725
2223,O2,10,0.51625,0.0325,13.0,0.03971153846153846
2223,O3,10,0.70625,0.4125,2.12,0.3331367924528302
2223,O4,10,0.65,0.3,2.12,0.30660377358490565
2223,O5R,10,0.66375,0.3275,2.12,0.3130896226415094
2223,O1,20,0.725,0.45,1.0,0.725
2223,O2,20,0.5225,0.045,23.0,0.022717391304347825
2223,O3,20,0.70625,0.4125,2.92,0.2418664383561644
2223,O4,20,0.65125,0.3025,2.92,0.22303082191780824
2223,O5R,20,0.66375,0.3275,2.92,0.22731164383561642
2223,O1,35,0.7275,0.455,1.0,0.7275
2223,O2,35,0.5325,0.065,38.0,0.014013157894736842
2223,O3,35,0.70625,0.4125,4.12,0.17141990291262135
2223,O4,35,0.6525,0.305,4.12,0.15837378640776698
2223,O5R,35,0.66375,0.3275,4.12,0.16110436893203883
2260,O1,0,0.69375,0.3875,1.0,0.69375
2260,O2,0,0.5175,0.035,3.0,0.1725
2260,O3,0,0.6375,0.275,1.3199999999999998,0.48295454545454547
2260,O4,0,0.5175,0.035,1.3199999999999998,0.3920454545454546
2260,O5R,0,0.645,0.29,1.3199999999999998,0.4886363636363637
2260,O1,2,0.69375,0.3875,1.0,0.69375
2260,O2,2,0.51875,0.0375,5.0,0.10375000000000001
2260,O3,2,0.6375,0.275,1.4799999999999998,0.43074324324324326
2260,O4,2,0.5175,0.035,1.4799999999999998,0.34966216216216217
2260,O5R,2,0.645,0.29,1.4799999999999998,0.4358108108108109
2260,O1,5,0.69375,0.3875,1.0,0.69375
2260,O2,5,0.52,0.04,8.0,0.065
2260,O3,5,0.6375,0.275,1.7199999999999998,0.370639534883721
2260,O4,5,0.5175,0.035,1.7199999999999998,0.30087209302325585
2260,O5R,5,0.645,0.29,1.7199999999999998,0.37500000000000006
2260,O1,10,0.69375,0.3875,1.0,0.69375
2260,O2,10,0.525,0.05,13.0,0.04038461538461539
2260,O3,10,0.63875,0.2775,2.12,0.30129716981132076
2260,O4,10,0.5175,0.035,2.12,0.24410377358490562
2260,O5R,10,0.645,0.29,2.12,0.30424528301886794
2260,O1,20,0.69375,0.3875,1.0,0.69375
2260,O2,20,0.52625,0.0525,23.0,0.022880434782608695
2260,O3,20,0.63875,0.2775,2.92,0.21875000000000003
2260,O4,20,0.5175,0.035,2.92,0.17722602739726026
2260,O5R,20,0.645,0.29,2.92,0.22089041095890413
2260,O1,35,0.69375,0.3875,1.0,0.69375
2260,O2,35,0.5425,0.085,38.0,0.014276315789473684
2260,O3,35,0.63875,0.2775,4.12,0.1550364077669903
2260,O4,35,0.5175,0.035,4.12,0.12560679611650485
2260,O5R,35,0.645,0.29,4.12,0.15655339805825244
2297,O1,0,0.65625,0.3125,1.0,0.65625
2297,O2,0,0.50875,0.0175,3.0,0.16958333333333334
2297,O3,0,0.55625,0.1125,1.3199999999999998,0.4214015151515152
2297,O4,0,0.635,0.27,1.3199999999999998,0.48106060606060613
2297,O5R,0,0.50875,0.0175,1.3199999999999998,0.38541666666666674
2297,O1,2,0.65625,0.3125,1.0,0.65625
2297,O2,2,0.51,0.02,5.0,0.10200000000000001
2297,O3,2,0.55625,0.1125,1.4799999999999998,0.3758445945945947
2297,O4,2,0.635,0.27,1.4799999999999998,0.4290540540540541
2297,O5R,2,0.50875,0.0175,1.4799999999999998,0.34375000000000006
2297,O1,5,0.65625,0.3125,1.0,0.65625
2297,O2,5,0.51125,0.0225,8.0,0.06390625
2297,O3,5,0.55625,0.1125,1.7199999999999998,0.32340116279069775
2297,O4,5,0.635,0.27,1.7199999999999998,0.36918604651162795
2297,O5R,5,0.50875,0.0175,1.7199999999999998,0.2957848837209303
2297,O1,10,0.65625,0.3125,1.0,0.65625
2297,O2,10,0.515,0.03,13.0,0.039615384615384615
2297,O3,10,0.55625,0.1125,2.12,0.2623820754716981
2297,O4,10,0.635,0.27,2.12,0.29952830188679247
2297,O5R,10,0.50875,0.0175,2.12,0.23997641509433962
2297,O1,20,0.65625,0.3125,1.0,0.65625
2297,O2,20,0.5275,0.055,23.0,0.02293478260869565
2297,O3,20,0.55625,0.1125,2.92,0.19049657534246578
2297,O4,20,0.635,0.27,2.92,0.21746575342465754
2297,O5R,20,0.50875,0.0175,2.92,0.17422945205479454
2297,O1,35,0.65625,0.3125,1.0,0.65625
2297,O2,35,0.53875,0.0775,38.0,0.014177631578947367
2297,O3,35,0.55625,0.1125,4.12,0.1350121359223301
2297,O4,35,0.635,0.27,4.12,0.154126213592233
2297,O5R,35,0.50875,0.0175,4.12,0.12348300970873786
2334,O1,0,0.69875,0.3975,1.0,0.69875
2334,O2,0,0.505,0.01,3.0,0.16833333333333333
2334,O3,0,0.595,0.19,1.3199999999999998,0.4507575757575758
2334,O4,0,0.555,0.11,1.3199999999999998,0.4204545454545455
2334,O5R,0,0.645,0.29,1.3199999999999998,0.4886363636363637
2334,O1,2,0.69875,0.3975,1.0,0.69875
2334,O2,2,0.505,0.01,5.0,0.101
2334,O3,2,0.595,0.19,1.4799999999999998,0.4020270270270271
2334,O4,2,0.555,0.11,1.4799999999999998,0.3750000000000001
2334,O5R,2,0.645,0.29,1.4799999999999998,0.4358108108108109
2334,O1,5,0.69875,0.3975,1.0,0.69875
2334,O2,5,0.50625,0.0125,8.0,0.06328125
2334,O3,5,0.595,0.19,1.7199999999999998,0.3459302325581396
2334,O4,5,0.555,0.11,1.7199999999999998,0.32267441860465124
2334,O5R,5,0.645,0.29,1.7199999999999998,0.37500000000000006
2334,O1,10,0.69875,0.3975,1.0,0.69875
2334,O2,10,0.51375,0.0275,13.0,0.03951923076923077
2334,O3,10,0.595,0.19,2.12,0.28066037735849053
2334,O4,10,0.555,0.11,2.12,0.2617924528301887
2334,O5R,10,0.645,0.29,2.12,0.30424528301886794
2334,O1,20,0.69875,0.3975,1.0,0.69875
2334,O2,20,0.52125,0.0425,23.0,0.02266304347826087
2334,O3,20,0.6,0.2,2.92,0.2054794520547945
2334,O4,20,0.555,0.11,2.92,0.19006849315068494
2334,O5R,20,0.645,0.29,2.92,0.22089041095890413
2334,O1,35,0.7025,0.405,1.0,0.7025
