seed,observer,phase,accuracy,balanced_accuracy,macro_f1,reward,tp,tn,fp,fn,active_hidden_units,active_embedding_units,retrieval_label_precision,combo00_accuracy,combo01_accuracy,combo10_accuracy,combo11_accuracy,retrieved_nodes,retrieved_edges,path_style_diversity,path_phase_diversity,retrieved_dream_fraction,mean_similarity,memory_p1,pathway_reuse_jaccard,pathway_union_active_units,I_param,I_external_memory,I_short_term,durable_no_short_accuracy,stripped_no_durable_accuracy,I_durable_joint,C_att,D_cue,N_sup,A_util,T_gain,I_ret_legacy,R_ret_legacy,U_adapt,Q_proc_legacy,P_chain_legacy,OWGE_legacy,memory_records,memory_edges_directed,memory_dream_records,memory_dream_fraction,resource_cost,base_zero_lora_accuracy,dream_candidates,dream_valid,dream_00,dream_01,dream_10,dream_11,dream_validation_rate
12001,O4M,C,0.74,0.7432098765432099,0.7230341080832762,0.48,197,395,0,208,31.69375,22.6725,0.7939021013708514,0.0,1.0,1.0,1.0,7.0725,6.0,1.305,1.26,0.0,0.99785229973495,0.35856508411255006,0.71296875,14.7,0.5949716539314766,0.49393286110255624,0.0,0.7432098765432099,0.49257696515080485,0.49393286110255624,0.5557675468651682,0.3333333333333333,0.95,0.0,0.5889328063241106,0.48768472906403937,0.5,0.74,0.26187411012746603,0.5650858193022262,0.14798134607542057,256.0,2048.0,0.0,0.0,0.6970000000000001,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4M,C_style_shift,0.61,0.6185819070904646,0.5491036266809257,0.22,97,391,0,312,31.76,21.445,0.64125,0.0,1.0,1.0,0.46411483253588515,6.25375,6.0,1.25,1.1125,0.0,0.9561854155361652,0.1978604029312524,0.48178725369458136,15.01375,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.6970000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4M,A_after_C,0.645,0.6243386243386243,0.5732660175501864,0.29,47,211,0,142,31.765,20.81,0.5648333333333333,1.0,1.0,0.0,0.47959183673469385,6.1925,6.0,1.2925,1.13,0.0,0.9549572849273682,0.20447124943119085,0.4871305418719213,14.0625,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.6970000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4M,B_after_C,0.628,0.628,0.5753889984659215,0.256,69,245,5,181,31.796,21.694,0.5905333333333334,0.9357142857142857,0.18627450980392157,0.7758620689655172,0.5211267605633803,6.284,6.0,1.28,1.104,0.0,0.9605152485370636,0.2276976276384924,0.4990467980295566,15.26,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.6970000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4D,A,1.0,1.0,1.0,1.0,189,211,0,0,29.03,7.41,1.0,1.0,1.0,1.0,1.0,6.57,6.0,1.0,1.0,0.0,0.9549472407996654,0.4736,0.48713054187192123,14.0625,1.0,0.0,0.0,1.0,1.0,0.0,0.8888888955701417,0.3333333333333333,0.95,0.0,1.0,0.0,0.5,1.0,0.352812350402761,0.007937013196843614,0.0028002762811561274,256.0,2048.0,0.0,0.0,0.6970000000000001,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4D,B,0.744,0.744,0.7309794031105505,0.488,241,131,119,9,31.492,9.684,0.7028,0.9357142857142857,0.8137254901960784,0.22413793103448276,0.9295774647887324,6.342,6.0,1.0,1.612,0.0,0.9605331280231476,0.5782747895103127,0.4990467980295566,15.26,0.0,0.488,0.0,0.744,0.616,0.3333333333333333,0.6579020871542437,0.3333333333333333,0.95,0.0,0.0,0.3333333333333333,0.5,0.744,0.20238840837147862,0.498664149744273,0.10092384357866008,256.0,2048.0,0.0,0.0,0.6970000000000001,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4D,C,0.74,0.7432098765432099,0.7230341080832762,0.48,197,395,0,208,31.875,21.41125,0.7939021013708514,0.0,1.0,1.0,1.0,7.0725,6.0,1.305,1.26,0.0,0.99785229973495,0.35856508411255006,0.71296875,14.7,0.5949716539314766,0.49393286110255624,0.0049052261854296885,0.7419440537583998,0.49257696515080485,0.4914382506929474,0.5557675468651682,0.3333333333333333,0.95,0.0016891891891891533,0.5889328063241106,0.48522167487684725,0.50125,0.74,0.24557567464310223,0.5646026108579102,0.13865266706668822,256.0,2048.0,0.0,0.0,0.8398571428571429,0.3675,640.0,640.0,78.0,102.0,215.0,245.0,1.0
12001,O4D,C_style_shift,0.61,0.6185819070904646,0.5491036266809257,0.22,97,391,0,312,31.8875,19.6325,0.64125,0.0,1.0,1.0,0.46411483253588515,6.25375,6.0,1.25,1.1125,0.0,0.9561854155361652,0.1978604029312524,0.48178725369458136,15.01375,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.8398571428571429,,640.0,640.0,78.0,102.0,215.0,245.0,1.0
12001,O4D,A_after_C,0.645,0.6243386243386243,0.5732660175501864,0.29,47,211,0,142,31.87,18.9325,0.5648333333333333,1.0,1.0,0.0,0.47959183673469385,6.1925,6.0,1.2925,1.13,0.0,0.9549572849273682,0.20447124943119085,0.4871305418719213,14.0625,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.8398571428571429,,640.0,640.0,78.0,102.0,215.0,245.0,1.0
12001,O4D,B_after_C,0.628,0.628,0.5753889984659215,0.256,69,245,5,181,31.896,20.06,0.5905333333333334,0.9357142857142857,0.18627450980392157,0.7758620689655172,0.5211267605633803,6.284,6.0,1.28,1.104,0.0,0.9605152485370636,0.2276976276384924,0.4990467980295566,15.26,,,,,,,,,,,,,,,,,,256.0,2048.0,0.0,0.0,0.8398571428571429,,640.0,640.0,78.0,102.0,215.0,245.0,1.0
12054,O1,A,1.0,1.0,1.0,1.0,196,204,0,0,32.0,23.7875,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.97,0.0,0.0,0.0,0.5,1.0,0.2633046061055618,0.007937013196843614,0.0020898521334495536,0.0,0.0,0.0,0.0,0.2277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O1,B,0.664,0.6634153490417026,0.6611318197221281,0.328,143,189,94,74,18.142,28.602,0.0,0.936046511627907,0.3076923076923077,0.19811320754716982,0.9312977099236641,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6634153490417026,0.6634153490417026,0.0,0.3070745230288694,0.0,0.97,0.0,0.0,0.0,0.5,0.664,0.15463845376822286,0.006924363664943699,0.0010707728904757585,0.0,0.0,0.0,0.0,0.2277,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O1,C,0.47625,0.4759211326217888,0.47573802541544474,-0.0475,178,203,218,201,23.4325,30.99,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4759211326217888,0.4759211326217888,0.0,0.003342234607704886,0.0,0.97,0.0,0.0,0.0,0.5,0.47625,0.10700646415281154,0.006198247651238937,0.0006632525651025477,0.0,0.0,0.0,0.0,0.2277,0.47625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O1,C_style_shift,0.47625,0.476243156078902,0.47624263466204997,-0.0475,192,189,209,210,25.65875,30.31125,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O1,A_after_C,1.0,1.0,1.0,1.0,196,204,0,0,25.6125,30.2425,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O1,B_after_C,0.664,0.6634153490417026,0.6611318197221281,0.328,143,189,94,74,25.524,30.182,0.0,0.936046511627907,0.3076923076923077,0.19811320754716982,0.9312977099236641,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2277,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O3,A,1.0,1.0,1.0,1.0,196,204,0,0,32.0,7.81,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8888888955574796,0.3333333333333333,0.95,0.0,1.0,0.0,0.5,1.0,0.4345968177514413,0.007937013196843614,0.0034494006777994286,0.0,0.0,0.0,0.0,0.29700000000000004,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O3,B,0.734,0.7591066746999724,0.7318278052223006,0.468,206,161,122,11,31.292,8.484,0.0,0.936046511627907,0.6923076923076923,0.19811320754716982,0.9312977099236641,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6368891288873617,0.33658465095829737,0.6634153490417026,0.0,0.7509110478743735,0.3333333333333333,0.95,0.5422343324250681,0.0,0.0,0.8979999999999999,0.734,0.34492300139728227,0.008702776372019615,0.003001787746726357,0.0,0.0,0.0,0.0,0.29700000000000004,0.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O3,C,0.47625,0.4759211326217888,0.47573802541544474,-0.0475,178,203,218,201,32.0,16.2775,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.18172566479927585,0.0,0.0,0.4759211326217888,0.4759211326217888,0.0,0.5577827795241482,0.3333333333333333,0.95,0.0,0.1895551257253385,0.0,0.5,0.47625,0.26276576757299597,0.006198247651238937,0.0016286873016853188,0.0,0.0,0.0,0.0,0.29700000000000004,0.35375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12054,O3,C_style_shift,0.6025,0.6031275781894547,0.5964441398739839,0.205,192,290,108,210,30.62,11.88875,0.0,0.0,1.0,0.48325358851674644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
