seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12637,O4M,A,1.6522507667541504,1.5154181718826294,2.0,0.9150390625,0.453125,0.4619140625,0.42554783821105957,1.0000020265579224,1.0,0.9375,0.46875,0.46875,1.7061721949574093
12637,O4M,B,3.6598398685455322,1.3865903615951538,2.0,0.8046875,0.3916015625,0.4130859375,1.2913013696670532,1.0000007152557373,1.0,1.0,0.5,0.5,3.880964711344254
12637,O4M,C,7.356954574584961,1.482007384300232,2.0,0.748046875,0.3662109375,0.3818359375,1.9073176383972168,1.0000007152557373,1.0,0.96875,0.484375,0.484375,7.600173760266782
12637,O4D,A,1.6522507667541504,1.5154181718826294,2.0,0.9150390625,0.453125,0.4619140625,0.42554783821105957,1.0000020265579224,1.0,0.9375,0.46875,0.46875,1.7061721949574093
12637,O4D,B,3.6598398685455322,1.3865903615951538,2.0,0.8046875,0.3916015625,0.4130859375,1.2913013696670532,1.0000007152557373,1.0,1.0,0.5,0.5,3.880964711344254
12637,O4D,C,7.024545669555664,1.291911244392395,1.0,0.8115234375,0.3994140625,0.412109375,1.5898233652114868,1.0000009536743164,1.0,1.0,0.5,0.5,7.2022066199356995
12690,O1,A,2.3497796058654785,1.6313761472702026,2.0,0.9423828125,0.4775390625,0.46484375,0.9721445441246033,1.0002094507217407,1.0,1.0,0.5,0.5,2.542937122858636
12690,O1,B,5.462606906890869,1.3161998987197876,2.0,0.6396484375,0.31640625,0.3232421875,0.09308372437953949,1.0062261819839478,1.0,0.96875,0.484375,0.484375,5.463399930350715
12690,O1,C,6.1486005783081055,1.2863150835037231,1.0,0.681640625,0.341796875,0.33984375,0.14255520701408386,1.0052937269210815,1.0,1.0,0.5,0.5,6.1502529263939705
12690,O3,A,1.1841504573822021,1.435133934020996,2.0,0.849609375,0.419921875,0.4296875,0.258154958486557,1.0000007152557373,1.0,0.96875,0.484375,0.484375,1.211963814769102
12690,O3,B,3.2034997940063477,1.4571081399917603,2.0,0.4765625,0.224609375,0.251953125,1.0571364164352417,1.0000007152557373,1.0,1.0,0.5,0.5,3.3734179007576657
12690,O3,C,2.0267720222473145,1.6853258609771729,2.0,0.6181640625,0.306640625,0.3115234375,1.474768042564392,1.0000004768371582,1.0,0.90625,0.453125,0.453125,2.5065405661057385
12690,O4R,A,1.188828945159912,1.4346102476119995,2.0,0.849609375,0.419921875,0.4296875,0.2605659067630768,1.0000011920928955,1.0,0.96875,0.484375,0.484375,1.2170492400134407
12690,O4R,B,3.338852882385254,1.4727041721343994,2.0,0.4765625,0.2333984375,0.2431640625,1.1092078685760498,1.0000004768371582,1.0,1.0,0.5,0.5,3.518278082517546
12690,O4R,C,2.1793744564056396,1.6184191703796387,2.0,0.6494140625,0.3271484375,0.322265625,1.3938311338424683,1.0000008344650269,1.0,1.0,0.5,0.5,2.5869747294672125
12690,O4M,A,1.1523921489715576,1.4577772617340088,2.0,0.8486328125,0.419921875,0.4287109375,0.42192280292510986,1.0000011920928955,1.0,0.96875,0.484375,0.484375,1.2272027202705613
12690,O4M,B,0.7798613905906677,1.8690509796142578,3.0,0.1337890625,0.056640625,0.0771484375,1.2363274097442627,1.0000004768371582,1.0,1.0,0.5,0.5,1.4617418556704764
12690,O4M,C,2.098195791244507,2.215146780014038,3.0,0.8349609375,0.43359375,0.4013671875,1.4074689149856567,1.0000007152557373,1.0,1.0,0.5,0.5,2.5265380117954024
12690,O4D,A,1.1523921489715576,1.4577772617340088,2.0,0.8486328125,0.419921875,0.4287109375,0.42192280292510986,1.0000011920928955,1.0,0.96875,0.484375,0.484375,1.2272027202705613
